"credit.policy","purpose","int.rate","installment","log.annual.inc","dti","fico","days.with.cr.line","revol.bal","revol.util","inq.last.6mths","delinq.2yrs","pub.rec","not.fully.paid"
1,"debt_consolidation",0.116522,812.518,11.4639106054,19.6748,745.107,5701.997874663,28276.92,51.058,3,0,0,0
1,"credit_card",0.108171,230.5022,10.9713211245,14.1471,715.484,2793.12,33959.23,77.467,3,0,0,0
1,"debt_consolidation",0.13739625,371.44575,10.5809610036,11.8626,675.18,4662.9,3554.8875,25.92,1,0,0,0
1,"debt_consolidation",0.098784,159.0932,11.4639106054,8.181,719.832,2729.657874663,32993.66,71.736,0,0,0,0
1,"credit_card",0.144026,103.9492,11.1867349176,14.8203,675.004,4114.792,4787.4,39.895,3,1,0,0
1,"credit_card",0.079785,126.694125,12.143066901,17.3196,719.73,6058.84125033,51442.0875,51.6375,1,0,0,0
1,"debt_consolidation",0.146608,190.1396,10.8215619477,4.04,674.337,3215.022125337,3762.22,75.264,3,0,1,1
1,"all_other",0.112514,132.5322,10.8920788416,10.9692,730.664,5177.392,24462.2,69.286,0,0,0,1
1,"home_improvement",0.1148175,88.279875,11.635716249,17.595,675.18,3949.11,70782.8625,51.73875,0,0,0,0
1,"debt_consolidation",0.119658,82.4376,10.3056280614,10.1,714.777,2760.072125337,5517.4,22.54,0,0,0,0
1,"debt_consolidation",0.136047,364.0343,10.329774642,21.8691,685.124,6793.598167004,13984.46,71.71,1,0,1,0
1,"debt_consolidation",0.134055,256.74975,12.0717091392,9.3432,655.38,4255.02,5186.025,18.4275,1,1,0,0
1,"debt_consolidation",0.084182,309.7878,11.0424380397,15.6449,775.437,6591.677874663,5946.64,16.366,0,0,0,0
1,"small_business",0.072114,93.7482,11.3977962054,6.435,755.964,4436.608,3051.21,4.848,1,1,0,0
1,"debt_consolidation",0.08737875,212.15925,9.67773155118,9.9246,719.73,1544.35874967,6360.525,45.1575,3,0,0,0
1,"major_purchase",0.108094,320.9794,10.8463043924,13.1704,709.722,8249.717874663,5286.12,52.332,0,0,0,0
