"table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts)","...2","...3","...4","...5","...6","...7","...8","...9","...10"
"Table 1. Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico:  April 1, 2010 to July 1, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geographic Area","April 1, 2010",NA,"Population Estimates (as of July 1)",NA,NA,NA,NA,NA,NA
NA,"Census","Estimates Base","2010",2011,NA,NA,NA,NA,NA
"United States","308,745,538","308,745,538","309,330,219",311591917,NA,NA,NA,NA,NA
"Northeast","55,317,240","55,317,244","55,366,108",55521598,NA,NA,NA,NA,NA
"Midwest","66,927,001","66,926,987","66,976,458",67158835,NA,NA,NA,NA,NA
"South","114,555,744","114,555,757","114,857,529",116046736,NA,NA,NA,NA,NA
"West","71,945,553","71,945,550","72,130,124",72864748,NA,NA,NA,NA,NA
".Alabama","4,779,736","4,779,735","4,785,401",4802740,NA,NA,NA,NA,NA
".Alaska","710,231","710,231","714,146",722718,NA,NA,NA,NA,NA
".Arizona","6,392,017","6,392,013","6,413,158",6482505,NA,NA,NA,NA,NA
".Arkansas","2,915,918","2,915,921","2,921,588",2937979,NA,NA,NA,NA,NA
".California","37,253,956","37,253,956","37,338,198",37691912,NA,NA,NA,NA,NA
".Colorado","5,029,196","5,029,196","5,047,692",5116796,NA,NA,NA,NA,NA
".Connecticut","3,574,097","3,574,097","3,575,498",3580709,NA,NA,NA,NA,NA
".Delaware","897,934","897,934","899,792",907135,NA,NA,NA,NA,NA
".District of Columbia","601,723","601,723","604,912",617996,NA,NA,NA,NA,NA
".Florida","18,801,310","18,801,311","18,838,613",19057542,NA,NA,NA,NA,NA
".Georgia","9,687,653","9,687,660","9,712,157",9815210,NA,NA,NA,NA,NA
".Hawaii","1,360,301","1,360,301","1,363,359",1374810,NA,NA,NA,NA,NA
".Idaho","1,567,582","1,567,582","1,571,102",1584985,NA,NA,NA,NA,NA
".Illinois","12,830,632","12,830,632","12,841,980",12869257,NA,NA,NA,NA,NA
".Indiana","6,483,802","6,483,800","6,490,622",6516922,NA,NA,NA,NA,NA
".Iowa","3,046,355","3,046,350","3,050,202",3062309,NA,NA,NA,NA,NA
".Kansas","2,853,118","2,853,118","2,859,143",2871238,NA,NA,NA,NA,NA
".Kentucky","4,339,367","4,339,362","4,347,223",4369356,NA,NA,NA,NA,NA
".Louisiana","4,533,372","4,533,372","4,545,343",4574836,NA,NA,NA,NA,NA
